Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression (BoW),0.8507439791379046,0.8512848305108748,0.8507439791379046,0.8500380826691134
Naive Bayes (BoW),0.7032060131922074,0.7189633564637677,0.7032060131922074,0.6972726031300094
Decision Tree (BoW),0.8014112593956129,0.800634102867407,0.8014112593956129,0.8007502973543649
Logistic Regression (TF-IDF),0.8436876821598405,0.844674878416109,0.8436876821598405,0.8424505255115509
Naive Bayes (TF-IDF),0.5695658843380886,0.7123473042047757,0.5695658843380886,0.5059410010677211
Decision Tree (TF-IDF),0.775671115201718,0.7741098590411136,0.775671115201718,0.7746555465266679
